Word,Freq,In Ontology,Upper-Pattern,URI,Notes
Baby,2,,,,
Packing,2,,,,
Class,2,,,,
Health,2,,,,
interaction,2,,,,
019-,2,,,,
018-,2,,,,
Switch,2,,,,
Technical,2,,,,
017-,2,,,,
016-,2,,,,
015-,2,,,,
014-,2,,,,
013-,2,,,,
012-,2,,,,
011-,2,,,,
under,2,,,,
N2047,2,,,,
Sleep,2,,,,
S,2,,,,
B,2,,,,
4,2,,,,
C002,2,,,,
N2001,2,,,,
Stairwell,2,,,,
Machinery,2,,,,
Containment,2,,,,
Arts,2,,,,
Appointment,2,,,,
T,2,,,,
A,2,,,,
Mulberry,2,,,,
Security,2,,,,
Cafe,1,,,,
IT-Support,1,,,,
Ion,1,,,,
Lobby-Unisex,1,,,,
Cooper,1,,,,
101e-,1,,,,
S2030a,1,,,,
Services,1,,,,
Cupboard-1FirstFloor,1,,,,
Childrens,1,,,,
101d-,1,,,,
039-Lobby,1,,,,
Gravimeter,1,,,,
101c-,1,,,,
In-Out,1,,,,
Nu022,1,,,,
Nu020,1,,,,
101b-,1,,,,
Nu293a,1,,,,
Intake,1,,,,
Nu018,1,,,,
Nu017,1,,,,
Nu016,1,,,,
Nu015,1,,,,
Nu014,1,,,,
Nu013,1,,,,
Nu012,1,,,,
L7-323,1,,,,
Nu011,1,,,,
L7-322,1,,,,
Nu010,1,,,,
L7-321,1,,,,
101a-,1,,,,
L7-320,1,,,,
Unit,1,,,,
Nu009,1,,,,
L7-319,1,,,,
Nu008,1,,,,
L7-318,1,,,,
Nu007,1,,,,
Macerator,1,,,,
Nu006,1,,,,
L7-317,1,,,,
Nu005,1,,,,
L7-316,1,,,,
L7-315,1,,,,
Nu004,1,,,,
L7-314,1,,,,
Nu003,1,,,,
Nu002,1,,,,
L7-313,1,,,,
Nu001,1,,,,
L7-312,1,,,,
L7-311,1,,,,
L7-310,1,,,,
Printing,1,,,,
Kitchen-Third,1,,,,
227d,1,,,,
227c,1,,,,
227b,1,,,,
227a,1,,,,
Pine,1,,,,
L7-309,1,,,,
102a-Kitchen,1,,,,
L7-308,1,,,,
L7-307,1,,,,
L7-306,1,,,,
L7-305,1,,,,
L7-304,1,,,,
408-Office,1,,,,
L7-303,1,,,,
L7-302,1,,,,
L7-301,1,,,,
102/103,1,,,,
119-,1,,,,
Poison,1,,,,
Regional,1,,,,
Projector,1,,,,
226a,1,,,,
008a,1,,,,
Communication,1,,,,
Corridor-1Basement,1,,,,
118-Kitchen,1,,,,
410-Office,1,,,,
117-,1,,,,
Shared,1,,,,
006c,1,,,,
006b,1,,,,
Advisers,1,,,,
Language,1,,,,
?????,1,,,,
005b,1,,,,
Office-1,1,,,,
005a,1,,,,
Lending,1,,,,
Advertisement,1,,,,
005N,1,,,,
N1002a,1,,,,
Moter,1,,,,
N1001e,1,,,,
N1001d,1,,,,
N1001c,1,,,,
N1001b,1,,,,
N1001a,1,,,,
003b,1,,,,
003a,1,,,,
113-,1,,,,
037-Kitchen,1,,,,
F9,1,,,,
Games,1,,,,
F5,1,,,,
112-,1,,,,
F4,1,,,,
F3,1,,,,
Darkroom,1,,,,
Frozen,1,,,,
F2,1,,,,
R2-06,1,,,,
F1,1,,,,
R2-04,1,,,,
N0024b,1,,,,
R2-03,1,,,,
N0024a,1,,,,
R2-02,1,,,,
R2-01,1,,,,
001Office,1,,,,
111-,1,,,,
Camera,1,,,,
Balcony,1,,,,
Sandwich,1,,,,
E124,1,,,,
E123,1,,,,
E122,1,,,,
E121,1,,,,
E120,1,,,,
